K00001,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K00001,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00001,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00001,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K00001,830,Metabolism ,Metabolism of cofactors and vitamins,Retinol metabolism 
K00001,625,Metabolism ,Xenobiotics biodegradation and metabolism,Chloroalkane and chloroalkene degradation 
K00001,626,Metabolism ,Xenobiotics biodegradation and metabolism,Naphthalene degradation 
K00001,980,Metabolism ,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450 
K00001,982,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450 
K00002,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00002,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00002,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00002,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K00002,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K00002,930,Metabolism ,Xenobiotics biodegradation and metabolism,Caprolactam degradation 
K00003,260,Metabolism ,Amino acid metabolism ,Glycine
K00003,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K00003,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K00004,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K00005,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00005,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K00006,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K00006,4011,Environmental Information Processing,Signal transduction,MAPK signaling pathway - yeast 
K00007,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00007,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00008,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00008,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00009,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00010,521,Metabolism ,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis 
K00010,562,Metabolism ,Carbohydrate metabolism,Inositol phosphate metabolism 
K00011,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K00011,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00011,52,Metabolism ,Carbohydrate metabolism,Galactose metabolism 
K00011,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K00011,790,Metabolism ,Metabolism of cofactors and vitamins,Folate biosynthesis 
K00012,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K00012,40,Metabolism ,Carbohydrate metabolism,Pentose and glucuronate interconversions 
K00012,53,Metabolism ,Carbohydrate metabolism,Ascorbate and aldarate metabolism 
K00012,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K00013,340,Metabolism ,Amino acid metabolism ,Histidine metabolism 
K00014,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K00015,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K00016,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K00016,5230,Human Diseases,Cancer: overview ,Central carbon metabolism in cancer 
K00016,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K00016,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K00016,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K00016,4922,Organismal Systems,Endocrine system,Glucagon signaling pathway 
K00016,4066,Environmental Information Processing,Signal transduction,HIF-1 signaling pathway 
