"","X1","SubjectID1","SubjectID2","Group1","Group2","Distance"
"1",0,"3W","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.528918581894209
"2",1,"3X","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.474859814547954
"3",2,"3X","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.568374485921899
"4",3,"3Y","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.557619526555775
"5",4,"3Y","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.451738202030411
"6",5,"3Y","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.566097647435191
"7",6,"3Z","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.469572385861305
"8",7,"3Z","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.471962213196898
"9",8,"3Z","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.5085217828545
"10",9,"3Z","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.394183260177149
"11",10,"4A","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.494747123093115
"12",11,"4A","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.474817240104966
"13",12,"4A","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.556203741780423
"14",13,"4A","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.439227460006356
"15",14,"4A","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.39724724948762
"16",15,"4B","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.418246923111628
"17",16,"4B","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.451764102972763
"18",17,"4B","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.450904835377114
"19",18,"4B","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.492550982433352
"20",19,"4B","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.451201291218091
"21",20,"4B","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.436765704621476
"22",21,"4C","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.722272113953888
"23",22,"4C","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.813780496873629
"24",23,"4C","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.72426941973952
"25",24,"4C","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.822080973039925
"26",25,"4C","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.820771535646526
"27",26,"4C","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.771847761585031
"28",27,"4C","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.712548060398562
"29",28,"4D","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.729119005529832
"30",29,"4D","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.742267513415064
"31",30,"4D","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.71352992159005
"32",31,"4D","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.727917603111375
"33",32,"4D","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.716951217783393
"34",33,"4D","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.696038005970901
"35",34,"4D","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.701104051596367
"36",35,"4D","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.658208246485058
"37",36,"4E","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.442560312865133
"38",37,"4E","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.513740862177166
"39",38,"4E","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.57272005170613
"40",39,"4E","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.476822347399029
"41",40,"4E","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.434098355233273
"42",41,"4E","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.470393652203479
"43",42,"4E","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.513000319824346
"44",43,"4E","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.817215104909531
"45",44,"4E","4D","Climate-Chamber-Control","Climate-Chamber-Control",0.737412635575278
"46",45,"4F","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.581000848482505
"47",46,"4F","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.472780978511129
"48",47,"4F","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.609183503927954
"49",48,"4F","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.536739707814984
"50",49,"4F","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.597194128073317
"51",50,"4F","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.539511782089472
"52",51,"4F","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.51518971891219
"53",52,"4F","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.746543450893191
"54",53,"4F","4D","Climate-Chamber-Control","Climate-Chamber-Control",0.669671379483719
"55",54,"4F","4E","Climate-Chamber-Control","Climate-Chamber-Control",0.632610647551295
"56",55,"4G","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.626497729904212
"57",56,"4G","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.646159657747188
"58",57,"4G","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.629246901802816
"59",58,"4G","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.5650958890306
"60",59,"4G","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.549605021575347
"61",60,"4G","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.54181751082425
"62",61,"4G","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.547583776691476
"63",62,"4G","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.760389443511652
"64",63,"4G","4D","Climate-Chamber-Control","Climate-Chamber-Control",0.626313563799586
"65",64,"4G","4E","Climate-Chamber-Control","Climate-Chamber-Control",0.64078269590307
"66",65,"4G","4F","Climate-Chamber-Control","Climate-Chamber-Control",0.537517707992376
"67",66,"4H","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.404826343099673
"68",67,"4H","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.477452748806201
"69",68,"4H","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.467960596216299
"70",69,"4H","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.445867995588791
"71",70,"4H","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.423824398294883
"72",71,"4H","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.501097219312913
"73",72,"4H","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.379473372315596
"74",73,"4H","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.770078799251486
"75",74,"4H","4D","Climate-Chamber-Control","Climate-Chamber-Control",0.75842814798288
"76",75,"4H","4E","Climate-Chamber-Control","Climate-Chamber-Control",0.454080934397563
"77",76,"4H","4F","Climate-Chamber-Control","Climate-Chamber-Control",0.558835103064768
"78",77,"4H","4G","Climate-Chamber-Control","Climate-Chamber-Control",0.592060702754227
"79",78,"4I","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.4541657768684
"80",79,"4I","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.480999338038643
"81",80,"4I","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.535861933428452
"82",81,"4I","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.57907480623434
"83",82,"4I","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.494505697617872
"84",83,"4I","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.499632162055549
"85",84,"4I","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.470730054889949
"86",85,"4I","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.734920818172839
"87",86,"4I","4D","Climate-Chamber-Control","Climate-Chamber-Control",0.745666861085735
"88",87,"4I","4E","Climate-Chamber-Control","Climate-Chamber-Control",0.546482680918922
"89",88,"4I","4F","Climate-Chamber-Control","Climate-Chamber-Control",0.550492011557757
"90",89,"4I","4G","Climate-Chamber-Control","Climate-Chamber-Control",0.628959950383519
"91",90,"4I","4H","Climate-Chamber-Control","Climate-Chamber-Control",0.501623814013069
"92",91,"4J","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.513311134470247
"93",92,"4J","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.432799814760879
"94",93,"4J","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.546599258067222
"95",94,"4J","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.441150621233506
"96",95,"4J","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.399444965831666
"97",96,"4J","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.42484370128829
"98",97,"4J","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.479662732658476
"99",98,"4J","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.804341956211106
"100",99,"4J","4D","Climate-Chamber-Control","Climate-Chamber-Control",0.67006092755451
"101",100,"4J","4E","Climate-Chamber-Control","Climate-Chamber-Control",0.495597062428584
"102",101,"4J","4F","Climate-Chamber-Control","Climate-Chamber-Control",0.565581239317793
"103",102,"4J","4G","Climate-Chamber-Control","Climate-Chamber-Control",0.59425659706488
"104",103,"4J","4H","Climate-Chamber-Control","Climate-Chamber-Control",0.481585445326301
"105",104,"4J","4I","Climate-Chamber-Control","Climate-Chamber-Control",0.5186389569015
"106",105,"4K","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.506021497368337
"107",106,"4K","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.508790439371099
"108",107,"4K","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.555101726459477
"109",108,"4K","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.412621235060267
"110",109,"4K","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.433318648676638
"111",110,"4K","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.387631940396331
"112",111,"4K","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.43016043269327
"113",112,"4K","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.79429498339986
"114",113,"4K","4D","Climate-Chamber-Control","Climate-Chamber-Control",0.694253200198163
"115",114,"4K","4E","Climate-Chamber-Control","Climate-Chamber-Control",0.440703017797467
"116",115,"4K","4F","Climate-Chamber-Control","Climate-Chamber-Control",0.567917633270934
"117",116,"4K","4G","Climate-Chamber-Control","Climate-Chamber-Control",0.542803305102991
"118",117,"4K","4H","Climate-Chamber-Control","Climate-Chamber-Control",0.435907004952801
"119",118,"4K","4I","Climate-Chamber-Control","Climate-Chamber-Control",0.524269216672895
"120",119,"4K","4J","Climate-Chamber-Control","Climate-Chamber-Control",0.433147484324137
"121",120,"4L","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.656624974962604
"122",121,"4L","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.650713120251833
"123",122,"4L","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.646743783771912
"124",123,"4L","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.714020644088066
"125",124,"4L","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.680718251023878
"126",125,"4L","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.665398085059732
"127",126,"4L","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.544568452676148
"128",127,"4L","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.722611520518169
"129",128,"4L","4D","Climate-Chamber-Control","Climate-Chamber-Control",0.69313621234687
"130",129,"4L","4E","Climate-Chamber-Control","Climate-Chamber-Control",0.736966670577241
"131",130,"4L","4F","Climate-Chamber-Control","Climate-Chamber-Control",0.539962479956619
"132",131,"4L","4G","Climate-Chamber-Control","Climate-Chamber-Control",0.62354054351227
"133",132,"4L","4H","Climate-Chamber-Control","Climate-Chamber-Control",0.62258651494801
"134",133,"4L","4I","Climate-Chamber-Control","Climate-Chamber-Control",0.631245434673397
"135",134,"4L","4J","Climate-Chamber-Control","Climate-Chamber-Control",0.719593083039817
"136",135,"4L","4K","Climate-Chamber-Control","Climate-Chamber-Control",0.672535365930094
"137",136,"4M","3V","Climate-Chamber-Control","Climate-Chamber-Control",0.515208870421184
"138",137,"4M","3W","Climate-Chamber-Control","Climate-Chamber-Control",0.368930451199472
"139",138,"4M","3X","Climate-Chamber-Control","Climate-Chamber-Control",0.529164746318725
"140",139,"4M","3Y","Climate-Chamber-Control","Climate-Chamber-Control",0.441948902729617
"141",140,"4M","3Z","Climate-Chamber-Control","Climate-Chamber-Control",0.474638762299724
"142",141,"4M","4A","Climate-Chamber-Control","Climate-Chamber-Control",0.416139387699051
"143",142,"4M","4B","Climate-Chamber-Control","Climate-Chamber-Control",0.427398817348719
"144",143,"4M","4C","Climate-Chamber-Control","Climate-Chamber-Control",0.76524686401169
"145",144,"4M","4D","Climate-Chamber-Control","Climate-Chamber-Control",0.720600773916326
"146",145,"4M","4E","Climate-Chamber-Control","Climate-Chamber-Control",0.524979585566266
"147",146,"4M","4F","Climate-Chamber-Control","Climate-Chamber-Control",0.389040795682309
"148",147,"4M","4G","Climate-Chamber-Control","Climate-Chamber-Control",0.564875501845084
"149",148,"4M","4H","Climate-Chamber-Control","Climate-Chamber-Control",0.430747998207652
"150",149,"4M","4I","Climate-Chamber-Control","Climate-Chamber-Control",0.481712397071331
"151",150,"4M","4J","Climate-Chamber-Control","Climate-Chamber-Control",0.496349261470876
"152",151,"4M","4K","Climate-Chamber-Control","Climate-Chamber-Control",0.432404019123471
"153",152,"4M","4L","Climate-Chamber-Control","Climate-Chamber-Control",0.536812728432319
"154",0,"4O","4N","Climate-Chamber-Heat","Climate-Chamber-Heat",0.701477640011053
"155",1,"4P","4N","Climate-Chamber-Heat","Climate-Chamber-Heat",0.363434604842362
