VIE,COLUMN,ROW,SURFACE TEMP (TACK LIFE),SURFACE TEMP (FLUKE),THERMOCOUPLE,TIME,Date,CHAMBER,THERMOSTAT,LOCATION,WEATHER,LASER LOCATION,Other notes,,
1R2R,5,2,31.5,,,14:30,May 25 2019,HEAT,23,SKY FRAME (AC),,,DEAD,,
1R5R,4,3,21.2,,,14:35,May 25 2019,HEAT,23,TOP BRANCH,,,RAN AROUND,,
2R4R,4,1,26.4,,,14:39,May 25 2019,HEAT,23,FRAME (LEFT AC),,,SHADE,,
3R6Y,3,1,23.3,,,14:44,May 25 2019,HEAT,23,MID BRANCH,,,,,
4R2Y,1,1,30.4,,,14:48,May 25 2019,HEAT,23,SKY FRAME (AC),,,,,
5R4Y,2,2,29.4,,,14:53,May 25 2019,HEAT,23,TOP BRANCH,,,,,
4R5Y,1,3,27.1,,,14:57,May 25 2019,HEAT,23,SKY SCREEN (DOOR),,,,,
5R6Y,4,2,24.2,,,14:59,May 25 2019,CONTROL,23,SKY SCREEN (AC),,,,,
1R5Y,1,2,26.8,,,15:01,May 25 2019,CONTROL,23,LOW SCREEN (AC),,,,,
3R6R,2,1,24.8,,,15:03,May 25 2019,CONTROL,23,TOP BRANCH,,,,,
2R5Y,3,2,24.4,,,15:05,May 25 2019,CONTROL,23,SKY SCREEN (AC),,,,,
4R6R,5,1,26.3,,,15:07,May 25 2019,CONTROL,23,LEAF LITTER,,,,,
5R1Y,1,3,20.3,,,15:10,May 25 2019,CONTROL,23,SKY FRAME,,,,,
2R4Y,5,4,22.6,,,15:13,May 25 2019,CONTROL,23,MID BRANCH,,,,,
1R6Y,1,4,23,,,9:14,May 27 2019,HEAT,23,SKY SCREEN,,,,,
4R3Y,3,3,23.8,,,9:14,May 27 2019,HEAT,23,SKY SCREEN,,,,,
4R6Y,4,2,20.9,,,9:15,May 27 2019,HEAT,23,SKY SCREEN,,,,,
4R5R,5,1,18,,,9:20,May 27 2019,HEAT,23,LEAF LITTER,,,,,
5R4Y,2,2,19.1,,,9:23,May 27 2019,HEAT,23,MID branch,,,,,
1R6R,2,1,23.3,,,9:26,May 27 2019,HEAT,23,LEAF LITTER,,,,,
1R5R,4,4,20.7,,,9:28,May 27 2019,HEAT,23,MID SCREEN,,,,,
3R5Y,1,1,24.1,,,9:41,May 27 2019,CONTROL,23,SKY SCREEN,,,,,
5R3Y,2,2,20,,,9:42,May 27 2019,CONTROL,23,TOP BRANCH,,,,,
3R2Y,3,3,20.2,,,9:44,May 27 2019,CONTROL,23,LEAF LITTER,,,24.7/30.1,,
3R1Y,4,4,20.7,,,9:46,May 27 2019,CONTROL,23,MID Branch,,,,,
