MB_ID,DesID,VIE
3V,CLC19M1,2R3Y
3W,CLC19M2,2R5R
3X,CLC19M3,2R4Y
3Y,CLC19M4,3R5R
3Z,CLC19M5,1R4R
4A,CLC19M6,2R5Y
4B,CLC19M7,2R6Y
4C,CLC19M8,1R5Y
4D,CLC19M9,3R6R
4E,CLC19F1,5R6R
4F,CLC19F2,3R1Y
4G,CLC19F3,4R1Y
4H,CLC19F4,3R2Y
4I,CLC19F5,5R6Y
4J,CLC19F6,4R6R
4K,CLC19F7,5R3Y
4L,CLC19F8,3R5Y
4M,CLC19F9,3R4Y
4N,CLH19M1,2R3R
4O,CLH19M2,1R6Y
4P,CLH19M3,1R2Y
4Q,CLH19M4,1R5R
4R,CLH19M5,2R6R
4S,CLH19M6,1R4Y
4T,CLH19M7,1R3Y
4U,CLH19M8,2R4R
4V,CLH19M9,1R6R
4W,CLH19F1,6R1Y
4X,CLH19F2,5R2Y
4Y,CLH19F3,4R3Y
4Z,CLH19F4,5R4Y
5A,CLH19F5,4R6Y
5B,CLH19F6,3R6Y
5C,CLH19F7,4R5R
5D,CLH19F8,4R2Y
