sample-id	VIE	Chamber	Sex	Column	Row 	VTmax	CTmin	VO2_20_ml/hr	VO2_30_ml/hr	VO2_20_ml/(hr*g)	VO2_30_ml/(hr*g)	Tpref_mean	Tpref_max	Tpref_min	Tpref_range	Tpref_SD	Tpref_25%_final	Tpref_50%_final	Tpref_75%_final
#q2:types	categorical	categorical	categorical	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 	numeric 
4P	1R2Y	Hot	M	5	4	29.5	13.8	0.60923772	0.983425968	0.4351698	0.70244712	24.479339	27	23.2	3.8	1.1022641	23.4	24.4	25.5
4T	1R3Y	Hot	M	3	2	31.4	12	0.751437036	1.090251792	0.395493177	0.573816733	23.260331	23.7	23	0.7	0.173436	23.1	23.2	23.4
3Z	1R4R	Control	M	4	3	28.1	10.4	1.445382288	0.6283872	0.90336393	0.392742	22.439669	23.8	22	1.8	0.437508	22.2	22.3	22.5
4S	1R4Y	Hot	M	1	2	29.4	14.4	0.487783296	1.329038928	0.40648608	1.10753244	24.031405	27.4	22.4	5	1.3917635	22.5	23.9	25.1
4Q	1R5R	Hot	M	4	3	31.5	13	0.918913464	1.511271216	0.706856511	1.16251632	24.936364	30.2	22.6	7.6	1.934899	23.4	24.4	26.3
4C	1R5Y	Control	M	1	2	29.4	10.7	0.71945748	1.357316352	0.654052255	1.233923956	25.076033	31.7	22.6	9.1	2.579051	22.8	23.8	27.1
4V	1R6R	Hot	M	2	1	28.8	13	1.038521232	0.515277504	0.944110211	0.468434095	27.536364	30	26.1	3.9	1.518387	26.3	26.5	29.6
4O	1R6Y	Hot	M	1	4	31	14.7	1.734350184	0.414735552	1.92705576	0.46081728	25.784298	31.7	22.9	8.8	2.4146086	23.65	25.4	27.7
4N	2R3R	Hot	M	3	4	30.5	14.6	0.835196292	0.562406544	0.759269356	0.511278676	24.683471	27.7	22.9	4.8	1.997096	22.9	23.5	27.3
4U	2R4R	Hot	M	4	1	29.6	16.1	0.552108312	1.68093576	0.30672684	0.9338532	27.041322	27.2	26.9	0.3	0.0737896	27	27	27.1
3X	2R4Y	Control	M	5	4	29.5	15	0.6251112	1.316471184	0.480854769	1.012670142	25.267769	27.9	20.1	7.8	1.7766173	23.5	25.5	26.65
4A	2R5Y	Control	M	3	2	29.6	18.4	0.849123072	0.763490448	0.53070192	0.47718153	27.239669	30.4	24.6	5.8	1.8911848	25.45	26.5	29
4R	2R6R	Hot	M	2	3	28.2	13.8	0.212195088	1.322755056	0.12482064	0.778091209	28.01405	32.2	22	10.2	1.760365	26.9	27.8	29
4B	2R6Y	Control	M	5	2	30.2	15.3	1.211737968	1.470426048	0.807825312	0.980284032	24.860331	29.3	22.5	6.8	2.383467	22.9	23.5	27.7
4F	3R1Y	Control	F	4	4	27.8	15.2	0.837311328	0.854606592	0.59807952	0.61043328	24.844628	26.3	23.4	2.9	0.798952	24.2	25	25.4
4H	3R2Y	Control	F	3	3	27.5	13.9	0.259316568	1.149948576	0.18522612	0.82139184	25.186777	26.6	23.7	2.9	0.648581	24.8	25.2	25.6
4M	3R4Y	Control	F	3	1	29.2	13.6	1.001685636	0.798051744	0.589226845	0.469442202	24.503306	25.8	23.4	2.4	0.7890853	23.7	24.5	25.3
3Y	3R5R	Control	M	2	3	30.2	11	1.600178328	0.2356452	0.88898796	0.130914	26.383471	28.5	25.4	3.1	0.943517	25.6	25.9	27.1
4L	3R5Y	Control	F	1	1	29.4	14.8	1.04790546	0.552980736	0.952641327	0.50270976	27.899174	31.6	23	8.6	3.169608	24.4	28.8	30.7
4D	3R6R	Control	M	2	1	27.5	12.3	0.558121284	1.263058272	0.293748044	0.664767512	25.569421	28.4	22.2	6.2	2.079136	23.2	26.3	27.4
5B	3R6Y	Hot	F	3	1	28.5	15	0.290442348	0.25135488	0.193628232	0.16756992	23.757025	27.6	22.5	5.1	1.3600139	22.65	23.4	24.2
4G	4R1Y	Control	F	5	3	29	13.8	0.633464748	1.706071248	0.372626322	1.003571322	25.124793	31.1	23.3	7.8	2.378735	23.5	23.7	26.3
5D	4R2Y	Hot	F	1	1	30.6	13.6	1.62659952	0.348754896	1.478726836	0.317049905	25.971901	29.9	22.9	7	1.9629579	24.25	25.8	27.1
4Y	4R3Y	Hot	F	3	3	30	15	0.53091612	0.364464576	0.35394408	0.242976384	29.566942	30.6	27.8	2.8	0.7782875	29	29.8	30.2
5C	4R5R	Hot	F	5	1	29.4	16.3	0.71684928	0.694367856	0.35842464	0.347183928	26.953719	31.5	24	7.5	2.6263422	24.3	26.9	29.4
4J	4R6R	Control	F	5	1	28.9	17.5	0.834523452	0.405309744	0.641941117	0.311776726	30.473554	32.7	26	6.7	1.506141	30	30.4	31.7
5A	4R6Y	Hot	F	4	2	29.6	15.1	0.508644108	1.589819616	0.299202416	0.935188009	25.309917	27.7	23.6	4.1	1.006595	24.5	25.5	26.1
4X	5R2Y	Hot	F	4	4	27.7	14.4	0.424390176	1.495561536	0.24964128	0.87974208	24.013223	29.9	21.7	8.2	1.809141	22.7	23.8	24.5
4K	5R3Y	Control	F	2	2	31.3	13.2	1.376703216	0.380174256	0.86043951	0.23760891	25.963636	29	22.7	6.3	1.877809	24.1	26.9	27.2
4Z	5R4Y	Hot	F	2	2	30.2	13.3	0.558572364	0.697509792	0.328571979	0.410299878	24.009917	24.7	23.8	0.9	0.253445	23.8	23.9	24.2
4E	5R6R	Control	F	2	4	27.8	15.7	1.080632952	0.945722736	0.491196796	0.429873971	24.298347	26	23.2	2.8	1.0427514	23.3	23.8	25.3
4I	5R6Y	Control	F	4	2	29.4	16.3	1.365682248	0.84832272	0.718780131	0.446485642	25.417355	31.9	23.3	8.6	2.7359239	23.8	23.9	26.65
4W	6R1Y	Hot	F	2	4	27.9	13.1	0.137136384	0.395883936	0.068568192	0.197941968	24.440496	27.8	22.1	5.7	2.0403259	22.6	23.6	26.65
